,title,comments,nanashi,date,timetable,id
0,,,,,,
1,"
ラーメンのレベルが低い都道府県といえば
","どこ？
",名無し,2023/1/27,0:50:04,JDEu
2,"
【悲報】医者がTwitterで大暴れ
","https://twitter.com/irukonaika/status/1618449900106289155&t=VsxFfsevKHoBw1ibfyPPZA
",名無し,2023/1/27,0:45:46,JjKy
3,"
おんｊお絵かき雑談部26
","ガチ絵でも落書きでもなんでも描け…　鬼龍の様にこのスレは雑談しながらお絵描きするだけの道具やんけ　なにムキになっとんねん雑談だけしたいとか悲しくて暴れたいとか愚痴りたいとかそんなん思たらいつでもこのスレにぶつけてくれスレ住民のでっかい大胸筋でなんぼでも受け止めたる住民めっちゃタフやし※追記 2022/12/17 12:26:56>>1リクスレではないので絵描き側から要望が出ない限りリクエストはなしでお願いします※追記 2022/12/17 16:08:54!jien前スレhttp://hayabusa.open2ch.net/test/read.cgi/livejupiter/1672307740/
",名無し,2023/1/14,14:13:22,o3G1
4,"
不動産屋「家は買ったほうがいいですよ🤗」これはつまり借りた方がええってことやぞ😤
","例えば持ち家の場合、30年ローン組んで払い終わったらリホームや更に数百万から2千万くらいる。加えて地震と台風の被害もありえる賃貸は生活に合わせて住み替えればいいおぼえときや😆
",名無し,2023/1/27,0:50:40,0Z7u
5,"
双極性ぬとらじ配信with メスニキ
","始めようか
",名無し,2023/1/26,20:50:49,XN6A
6,"
伊藤カイジが配信するスレ
","ちょうど１ヶ月ぶりぶりぶりのぶり大根
",名無し,2023/1/26,23:46:04,NkLs
7,"
合理主義娘「交際を提案する、君といると安心感があるし君も私を好いているように見える、お互いに利する所があると思うがどうだ？」
","こういう子好きです
",名無し,2023/1/27,0:53:36,sacT
8,"
カレー作るンゴぬとらじ
","寒いね
",名無し,2023/1/26,16:34:45,ZzIr
9,"
【12球団総合】プロ野球雑談・議論 Part238
","・煽り荒らしはとりあえずバツポチで対応・次スレはアク引継ぎで>>950よろしく!jien!ngk【ＷＢＣ日本代表メンバー】◆投手大谷翔平（LAA）ダルビッシュ有（SD）戸郷翔征（巨人）佐々木朗希（ロッテ）山本由伸（オリックス）今永昇太（DeNA）松井裕樹（楽天）栗林良吏（広島）湯浅京己（阪神）大勢（巨人）宮城大弥（オリックス）宇田川優希（オリックス）高橋奎二（ヤクルト）高橋宏斗（中日）伊藤大海（日本ハム）◆捕手甲斐拓也（ソフトバンク）中村悠平（ヤクルト）大城卓三（巨人）◆内野手源田壮亮（西武）牧秀悟（DeNA）村上宗隆（ヤクルト）山田哲人（ヤクルト）山川穂高（西武）周東佑京（ソフトバンク）中野拓夢（阪神）岡本和真（巨人）◆外野手近藤健介（ソフトバンク）鈴木誠也（CHC）吉田正尚（BOS）L.ヌートバー（STL）前スレhttp://hayabusa.open2ch.net/test/read.cgi/livejupiter/1674707992/
",名無し,2023/1/26,16:07:57,lHCa
10,"
AIイラストやったことないやつｗｗｗ3
","https://waifus.nemusona.com/最新のanythingモデル。綺麗な画像ができるように設定済みだから絵柄を変えるのは難しいかも。使い方Positive Promptsに作りたい画像（制服黒髪ロングの例: girl, school uniform, black hair, long hair,）Negative Promptsは除外したいものGenerateで画像生成有名ならキャラ名だけでも作れる。日本語はほぼ認識しない。呪文生成サイトエロはないhttps://programming-school-advance.com/ai-image-generation呪文生成サイトhttps://note.com/ryon3/n/n5c5c2f79c596呪文生成サイトhttps://huggingface.co/spaces/NoCrypt/DeepDanbooru_string次スレは>>900踏んだ人が建ててください※追記 2023/01/25 23:45:58前スレhttps://hayabusa.open2ch.net/test/read.cgi/livejupiter/1674390799/l10
",名無し,2023/1/25,23:42:23,dAwt
11,"
自殺をやたらと忌み嫌う奴って何なん？
","ワイの父親が自殺のニュース見る度にぶちギレてるんやが、こういう人ってたまにおるよな何でそんなに他人の自殺にキレてんの？
",名無し,2023/1/27,0:38:52,FmbG
12,"
京都の閉じ込め電車内は放尿、脱糞、やりたい放題の地獄絵図だった模様
","滋賀県に住む50代男性は24日夜、帰宅しようと京都駅（京都市下京区）から滋賀へ向かう列車に乗った。 しかし午後8時ごろ、山科駅（京都市山科区）の手前で列車が突然停止する。そのまま約8時間も動かず、 「トイレに行けず失禁する人もいて、まるで地獄絵図だった」と振り返る。 https://mainichi.jp/articles/20230125/k00/00m/040/250000c
",名無し,2023/1/27,1:02:16,L77t
13,"
ニートとメンヘラちょっとこい
","常人には哲学や思想を探求する暇なんかないよメンヘラ・ニートが哲学を生むしかないその辺どう思うんだ？ソクラテスもプラトンもイエスも釈迦も孔子も老子も全部ニートだぞこいつら２５００年前で生産活動なにもやってないからな？なにを放蕩してんだよという話だよな
",名無し,2023/1/27,0:21:09,15ZS
14,"
押すと片目失明するが押さないと100万円貰えるボタン←押す？
","10秒以内に決めてね
",名無し,2023/1/27,1:10:46,Uxvt
15,"
【悲報】Ｚ世代がやばい理由、判明😭
","こういうのをひたすら見続けた結果らしい
",名無し,2023/1/27,1:11:11,4VNO
16,"
SSDに換装してメモリ増設したらどんぐらい速くなるの
","おしえて
",名無し,2023/1/27,1:06:47,hl01
17,"
スネイプ｢お前の親父クソだぞ｣ ハリー｢立派な人だった！会ったことないけど！｣
","お父さんがエグいイジメしてる記憶見たハリー｢😧｣
",名無し,2023/1/27,0:26:38,shTe
18,"
おんＪ株式投資部 その174
","初心者に優しく投資スタイルの押し付け厳禁みんな儲けて幸せに投資は自己責任で!jien !バルサン日経225先物https://nikkei225jp.com/chart/米国株先物https://nikkei225jp.com/nasdaq/世界市況https://www.nikkei.com/markets/worldidx/モーニングスター(投信検索サイト)https://www.morningstar.co.jp/初心者向け学習ツール（東証マネ部）https://money-bu-jpx.com/次スレは >>950 が立ててください。950が立てられない場合は >>970 が立ててください。>>950 踏んだ人は次スレ立てる時にアク禁引き継ぎにチェックすること前スレhttp://hayabusa.open2ch.net/test/read.cgi/livejupiter/1672115099/
",名無し,2023/1/16,10:44:47,PHuP
19,"
【悲報】卵、高い
","なんか最近高い
",名無し,2023/1/27,1:00:43,tseA
20,"
部屋とYシャツと
","わ
",名無し,2023/1/27,1:10:03,AWC5
21,"
人生がゴミカスなんやが
","現実では人と喋れないし彼女できないし ネットの中ではレスバは負けるし マジでゴミだよゴミ
",名無し,2023/1/27,1:03:22,IST7
22,"
巴マミ「固有能力はリボンを出すことです」←こいつ
","ただしそのリボンを銃の形にして戦えますめっちゃ応用効くやんガバガバ判定すぎる
",名無し,2023/1/27,0:02:57,VkJk
23,"
おんjないとかなりきついよな
","友達おらんし家族意外と話し相手おらんから
",名無し,2023/1/27,0:50:34,ob0S
24,"
外でガイジごっこしてるの人に見られた
","恥ずかしい😳
",名無し,2023/1/27,1:08:03,syWa
25,"
【悲報】撮り鉄高校生、やらかす
","https://twitter.com/livedoornews/status/1618588312503029761
",名無し,2023/1/27,0:53:56,2LCU
26,"
ちょっと腹出てるくらいが一番パワー出るし調子もいいよな
","数年程度しか筋トレしてないけど最近確信したわ
",名無し,2023/1/27,0:34:38,BmfT
27,"
深夜のチキンレースレ　確率1/3 !timer
","!sk岸田文雄,矢野さとる,西村ひろゆき,たぬかな,サロメ,中居正広,巨人小笠原,男村田,東谷義和,阪神矢野,天皇陛下,唐澤貴洋,浜崎順平,原田将大,長谷川亮太,簾内柊太,大坂なおみ,朝倉未来, 岡尚大,橋本環奈,ゆたぼん!sk2愛してる,殺す,でシコるテンプレ!sk!sk2
",名無し,2023/1/27,1:04:16,tr9n
28,"
【悲報】強盗の実行犯さん、ガチに不憫すぎる
","「ルフィに粛清される」“闇バイト”応募者から家族構成まで聞き出す　専門家「人質的な形」指摘https://news.yahoo.co.jp/articles/0c06095be3722a9f21a96873fd4676dc675ed460これ加害者であると同時に被害者でもあるだろ・・・
",名無し,2023/1/27,0:46:16,18PO
29,"
フェアリーテイルで最も凶悪な魔法、決まる
","これ
",名無し,2023/1/27,0:39:51,Z9l3
30,"
全国で海釣り集会所 part.147
","■海釣り実況者が集う雑談スレですが、名無し・ご新規・初心者どなたでも歓迎です。■コテを付けて参加するとオリジナルＪっ釣りマンシールをデザインしてもらえるかも…！？前スレhttps://hayabusa.open2ch.net/test/read.cgi/livejupiter/1673989756/1-100過去シール一覧はこちらhttps://suzuri.jp/Onj-fishingTwitterhttps://mobile.twitter.com/touhoku_deおんJ魚釣り部https://hayabusa.open2ch.net/test/read.cgi/livejupiter/1666425899/1-100新規住人随時募集中！
",名無し,2023/1/22,2:29:42,jvac
31,"
【画像🐜】海外のノーブラまんさんｗｗｗ
","えっ！！！
",名無し,2023/1/27,0:50:18,WhZ8
32,"
【悲報】おんjまだ１時なのに誰も居ない
","終わりだよこの板
",名無し,2023/1/27,1:10:33,mQlw
33,"
レスだけであいつこそがテニスの王子様を歌い切るスレ
","H前…お前うわぁ…
",名無し,2023/1/27,1:00:19,nAVE
34,"
ゴツい男だけど女の子に憧れる
","少女になりたい
",名無し,2023/1/27,0:36:45,1tKQ
35,"
JS「あ、あの…すみませんいつもの""アレ""お願いします…」
","ワイ「あいよ」ﾋﾟﾛﾂﾝﾋﾟﾛﾂﾝﾋﾟﾛﾂﾝ←クンニJS「んっ…あ、あんっ」ワイ「ほっ」ｺﾘｯJS「いくっ」ｼﾞｬｰワイ「ふう…これで大丈夫だよ」JS「いつもすみません…」ワイ「いいよいいよ！病気なんだもん仕方ない！」そう、彼女は一日に一回潮吹きしないと死んでしまう病なのだ！！！！！！！！？！？
",名無し,2023/1/27,1:07:29,RMme
36,"
ハルヒのエンドレスエイトの楽しみ方
","ハルヒの服装以上
",名無し,2023/1/27,1:09:30,evuh
37,"
結局模写って意味あるん？
","教えてくれや
",名無し,2023/1/26,21:49:14,MR81
38,"
【急募】印刷・縮尺に自信ニキ
","A4サイズの紙にちょうどネットとかにある髪型のコピーを貼り付けてそれを印刷したいサイズはワイの頭(横14cm)に合わせたいお面の髪型だけバージョンって感じやどうすればええ?
",名無し,2023/1/27,0:57:28,maqg
39,"
ワイ、おっぱいを揉むことを決意
","つきましてはもみもみいたします
",名無し,2023/1/27,0:58:51,5EWA
40,"
【悲報】老人「週休3日反対！」若者「週休3日賛成！」
","週休3日制の導入の是非について日本経済新聞社の郵送世論調査で質問した。「推進すべきだとは思わない」が57%で「推進すべきだ」の37%を上回った。年齢が若いほど肯定的で、30歳代以下では6割以上が推進派と賛否が逆転した。https://www.nikkei.com/article/DGKKZO67863530U3A120C2EA1000/
",名無し,2023/1/27,0:41:40,Jexn
41,"
【悲報】LGBTに配慮したすべての作品
","致命的に面白くない模様
",名無し,2023/1/27,0:55:20,cOl1
42,"
ワイ自分で描いた絵を貼れって言われたから貼ったらアク禁
","https://hayabusa.open2ch.net/test/read.cgi/livejupiter/1674737354/l30これはおかしなことやと思うよ？
",名無し,2023/1/26,21:58:04,ddDI
43,"
今日あった嫌なことを思い出したワイ、ダンゴムシの真似をしてやり過ごす
","ダンゴムシの真似をしてなかったら危なかった
",名無し,2023/1/27,1:00:02,Popi
44,"
🤠おんjも変わらねぇな…俺だよ俺
","🤠ハ
",名無し,2023/1/27,0:54:45,9rG7
45,"
おんJたのちいいいいいいいいいいいい
","嘘ンゴほんとは楽しくないンゴ
",名無し,2023/1/27,0:57:01,Popi
46,"
【画像】女子小学生「みんなを励ましたい」
","腹筋スレと見せかけてホンモノを貼るのがワイのスタイル
",名無し,2023/1/27,0:24:46,DhK8
47,"
今夜のガイジ
","#id:WhZ8
",名無し,2023/1/27,0:53:59,wlwC
48,"
（　´∀｀）（　・∀・） (,,ﾟДﾟ)←こいつら
","懐かしいなぁ
",名無し,2022/10/13,11:46:02,Onj3
49,"
麻雀に自信奴ｗｗｗｗｗｗｗｗｗ2丁目
","麻雀一番街ってゲームがあるんだけどさ、一緒にやろうず個室で対戦もやってるよ絵が描ける人に勝つとなんか描いてもらえる！かももしかしたらえっちなものも…？※追記 2023/01/23 03:43:44麻雀一番街https://www.mahjong-jp.comhttps://twitter.com/RiichiCity_JP前スレhttps://hayabusa.open2ch.net/test/read.cgi/livejupiter/1673457040/
",名無し,2023/1/23,3:38:11,iXST
50,"
ヒモになりたい
","どうしたらなれるの？
",名無し,2023/1/27,0:48:54,CqWW
51,"
卒論終わってないやつwwwww
","大丈夫か？
",名無し,2023/1/27,1:12:01,fV6i
52,"
このジョルノ
","ジ
",名無し,2023/1/27,1:12:00,dtpf
53,"
後悔ナイチンゲールダンス
","絶対なかるてぃんがハンバーグ屋さんやった方がいいってあれだけ言ったのに
",名無し,2023/1/27,1:11:26,PWiR
54,"
お前らおすすめの乙女ゲーとかある？
","スマホでできるやつ
",名無し,2023/1/27,0:57:03,6zq1
55,"
税金納めてるやつってハッタショやろ
","へしゃいしか志望しておりません
",名無し,2023/1/27,1:09:38,jQ63
56,"
　　　👈😢見て…あそこにね
","🫥🫥　👈🫥　かつてはそこにあった、きんたま
",名無し,2023/1/27,1:08:28,scio
57,"
部長があの歳でまだ巡査部長の理由
","両津と一緒にいたいから
",名無し,2023/1/27,1:04:12,eA4P
58,"
ワイ、記録を更新する！
","誕生日10人くらいに祝われたわ去年とか家族と友達ひとりやったのに
",名無し,2023/1/27,1:02:06,kqQe
59,"
!AA　お気に入りのAA貼るスレ
","貼れや
",名無し,2022/4/20,12:35:50,sa8d
